2013-12-27 00:00:00,807,807.8,802.11,802.11,6.75,5452.59,807.75
2013-12-27 00:01:00,805,805.88,802,802.1,12.53,10054.12,802.26
2013-12-27 00:02:00,805.88,807.73989,805,805,0.8,648.53,807.08
2013-12-27 00:03:00,1.7e+308,1.7e+308,1.7e+308,1.7e+308,Infinity,Infinity,Infinity
2013-12-27 00:04:00,804.7,804.7,804.7,804.7,0.03,20.93,804.7
2013-12-27 00:05:00,805,805,805,805,0.02,16.1,805
2013-12-27 00:06:00,805,807.99466,805,807.99466,1.25,1005.8,805.64
2013-12-27 00:07:00,807.99463,807.99463,807.9946,807.9946,0.79,641.16,807.99
2013-12-27 00:08:00,807.89991,807.89991,807.89991,807.89991,0.5,403.95,807.9
2013-12-27 00:09:00,807.89982,811,807.89979,810,34.11,27585.07,808.65
2013-12-27 00:10:00,811,811.98498,810,810,1.12,908.25,810.05
2013-12-27 00:11:00,810,811.536,805.01,811.536,11.25,9093.91,808.46
2013-12-27 00:12:00,805.01,805.01,805.01,805.01,1.63,1313.17,805.01
2013-12-27 00:13:00,805.01,811.78997,805.01,811.78997,0.87,707.07,808.71
2013-12-27 00:14:00,1.7e+308,1.7e+308,1.7e+308,1.7e+308,Infinity,Infinity,Infinity
2013-12-27 00:15:00,811,811,811,811,0.5,405.5,811
2013-12-27 00:16:00,805.4,814,805.01001,814,10.18,8263.08,811.93
2013-12-27 00:17:00,811.995,811.995,806.3,806.3,0.14,113.57,811.18
2013-12-27 00:18:00,811.995,813,806.35,813,4.09,3327.87,812.71
2013-12-27 00:19:00,813,814.19999,812,814.195,3.3,2686.56,814.01
2013-12-27 00:20:00,814.195,814.2,805.15005,814.195,1.65,1345.11,813.93
2013-12-27 00:21:00,1.7e+308,1.7e+308,1.7e+308,1.7e+308,Infinity,Infinity,Infinity
2013-12-27 00:22:00,806.11003,806.11003,806.11003,806.11003,0.14,110.96,806.11
2013-12-27 00:23:00,807.005,807.005,807.005,807.005,0.2,161.4,807.01
2013-12-27 00:24:00,808.005,808.005,808.005,808.005,0.12,100.92,808.01
2013-12-27 00:25:00,808.005,814.2,808.00006,814.2,2.6,2111.83,812
2013-12-27 00:26:00,814.2,819.18999,814.2,818.37,20.01,16368.31,818
2013-12-27 00:27:00,810.35339,810.35339,810.35339,810.35339,0.01,8.1,810.35
2013-12-27 00:28:00,810.35344,817,810,816.175,0.04,34.88,813.18
